Price,District,City,Town,Type,EnergyCertificate,TotalArea,Parking,HasParking,ConstructionYear,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms
159900.0,Faro,Olhão,Olhão,Apartment,E,96.0,0.0,False,2015.0,0,False,0,2.9999999999999996,2.6,0.20000000000000207,96.0,2.0
159900.0,Faro,Olhão,Olhão,Apartment,C,96.0,0.0,False,2015.0,0,False,0,2.0,2.5999999999999996,0.20000000000000207,96.0,1.0
159900.0,Faro,Olhão,Olhão,Apartment,C,96.0,0.0,False,2015.0,0,False,0,2.9999999999999996,2.6,0.20000000000000207,96.0,2.0
14800.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,NC,58.0,2.0,True,1993.0,0,False,0,1.0,0.7999999999999999,0.0,58.0,1.0
615000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,93.0,1.0,True,2022.0,0,True,0,2.0,2.0,1.6,74.0,2.0
209000.0,Faro,Silves,Armação de Pêra,Apartment,C,49.0,1.0,True,1975.0,0,True,0,1.0,0.7999999999999999,0.6,48.0,1.0
184000.0,Faro,Portimão,Portimão,Apartment,E,96.0,0.0,False,1983.0,0,True,0,2.0,2.0,0.6,88.0,1.0
305000.0,Faro,Silves,Silves,House,E,160.0,0.0,False,2011.0,0,False,0,2.9999999999999996,1.8,0.6,200.0,2.0
310000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,C,139.0,1.0,True,2009.0,0,True,0,2.9999999999999996,2.1999999999999997,0.20000000000000207,139.0,2.0
135000.0,Faro,Vila Real de Santo António,Vila Nova de Cacela,House,NC,199.0,1.0,True,1951.0,0,False,0,1.0,2.1999999999999997,0.6,35.0,1.0
170000.0,Faro,Vila Real de Santo António,Vila Real de Santo António,House,NC,180.0,1.0,True,2023.0,0,False,0,2.9999999999999996,2.1999999999999997,0.6,88.0,2.0
8500.0,Faro,Loulé,Quarteira,Apartment,NC,40.0,0.0,False,1988.0,0,True,0,0.0,1.0,0.6,40.0,1.0
19000.0,Faro,Loulé,Quarteira,Apartment,NC,40.0,0.0,False,1988.0,0,True,0,0.0,1.0,0.6,40.0,1.0
249500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,E,69.0,0.0,False,1989.0,0,False,0,2.0,1.5999999999999999,0.20000000000000207,65.0,2.0
199000.0,Faro,Portimão,Portimão,House,C,82.0,0.0,False,2023.0,0,False,0,2.0,2.4,0.6,82.0,2.0
195000.0,Faro,Alcoutim,Alcoutim e Pereiro,House,NC,278.0,3.0,True,2002.0,0,False,0,1.0,2.8000000000000003,0.0,131.0,1.0
265000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,D,100.0,0.0,False,1997.0,0,True,0,2.0,2.5999999999999996,0.7999999999999979,100.0,2.0
269000.0,Faro,Loulé,Quarteira,Apartment,D,65.0,0.0,False,1988.0,0,True,0,1.0,1.4000000000000001,0.0,65.0,1.0
115000.0,Faro,Lagoa (Algarve),Estômbar e Parchal,House,F,114.0,0.0,False,Informação não disponível,0,False,0,5.0,3.6,0.6,62.0,1.0
275000.0,Faro,Portimão,Alvor,Apartment,C,270.0,0.0,False,1985.0,0,False,0,2.0,2.4,0.4,96.0,1.0
260000.0,Faro,Aljezur,Odeceixe,Apartment,C,100.0,1.0,True,2007.0,0,False,0,2.0,1.2,0.20000000000000207,178.0,1.0
20000.0,Faro,Loulé,Quarteira,Apartment,NC,127.0,0.0,False,1991.0,0,True,0,2.0,2.6,0.4,113.0,3.0
